AgeRange,YearsExperience,Industry,Education,Location,Salary,Modality,Gender
3,1,18,2,31,262000,1,0
1,2,31,1,16,260000,2,0
3,8,25,1,6,260000,2,2
3,8,36,4,36,260000,2,0
1,3,25,1,19,260000,2,2
3,10,14,1,36,260000,2,2
5,18,36,4,24,260000,2,0
3,7,18,2,26,260000,0,2
3,10,1,1,24,260000,2,0
4,7,14,6,21,260000,1,2
1,3,18,1,13,257000,1,0
2,7,36,1,36,255000,2,2
4,10,25,1,24,252000,0,0
4,12,14,4,26,251490,1,2
0,3,36,1,19,250000,1,0
4,6,15,1,36,250000,2,0
4,11,22,2,19,250000,2,0
3,10,36,2,38,250000,2,2
1,1,36,1,24,250000,2,0
2,6,18,1,27,250000,0,0
4,14,18,4,19,250000,2,0
5,12,7,4,24,250000,2,2
3,9,36,1,36,250000,2,0
3,5,33,3,27,250000,2,0
4,13,7,4,36,250000,2,0
3,3,27,2,24,250000,1,2
2,6,25,1,19,250000,2,2
1,4,36,1,24,250000,2,2
4,10,18,2,3,250000,2,0
1,2,4,1,24,250000,1,2
4,8,4,1,24,250000,0,2
4,14,36,1,1,250000,2,2
3,9,18,2,22,250000,1,0
0,3,25,5,40,250000,0,2
3,10,36,1,24,250000,2,2
5,11,22,2,19,248000,2,2
3,10,22,2,36,245000,2,2
3,8,36,1,36,245000,0,2
4,12,25,1,24,242000,2,0
2,3,22,2,35,240000,0,0
3,5,22,2,5,240000,0,0
4,15,36,1,36,240000,0,2
3,4,27,0,29,240000,0,2
3,10,36,1,24,240000,2,0
2,3,22,2,38,240000,2,0
3,4,22,2,24,240000,2,0
3,2,22,2,41,240000,2,2
3,2,22,2,19,240000,0,0
2,3,22,2,24,240000,0,0
4,9,36,1,37,240000,2,2
2,10,25,6,9,240000,2,2
0,2,33,6,10,240000,2,2
2,4,22,2,24,240000,2,0
3,10,36,1,1,240000,2,2
2,3,22,2,3,240000,0,0
3,8,36,1,36,240000,2,0
4,19,19,0,36,240000,0,2
3,3,22,2,41,240000,0,0
3,2,31,1,23,240000,2,0
5,16,15,1,15,239000,2,2
4,13,36,1,24,238000,2,0
2,7,36,1,24,235000,2,0
3,9,36,1,24,235000,2,0
2,2,22,2,5,235000,2,0
5,10,14,4,36,235000,0,2
3,11,36,1,24,233000,2,0
4,13,36,1,36,232000,2,2
4,11,14,2,26,232000,2,0
4,13,1,1,24,230000,2,0
4,11,36,4,36,230000,2,2
4,12,32,1,24,230000,2,0
3,11,32,4,36,230000,1,2
4,12,36,1,38,230000,2,0
3,11,7,1,36,230000,0,2
2,5,18,1,41,226600,0,0
3,11,4,1,24,225000,0,2
4,12,36,1,24,225000,2,2
4,14,14,4,22,225000,2,2
2,6,25,1,24,225000,2,2
3,10,0,2,3,225000,0,0
4,12,36,1,37,225000,0,2
2,2,18,2,24,225000,1,2
3,7,25,1,5,225000,2,2
4,10,18,1,3,225000,2,0
3,8,36,4,5,225000,2,0
2,10,14,6,5,225000,0,2
2,5,31,1,24,225000,0,2
4,12,36,1,24,225000,0,2
5,15,36,4,19,225000,1,0
2,5,36,1,36,225000,0,1
6,14,36,1,37,223600,2,0
4,10,36,2,19,220000,2,2
2,6,36,1,24,220000,0,0
2,6,36,1,24,220000,2,0
2,8,36,6,41,220000,2,2
5,15,21,1,36,220000,1,0
2,5,36,1,38,220000,2,2
4,14,25,1,24,220000,2,0
5,13,31,2,24,220000,1,0
3,9,36,1,19,220000,2,2
4,9,36,4,36,220000,0,0
4,12,36,1,36,220000,2,0
3,13,31,7,0,220000,2,2
3,1,22,2,36,220000,2,1
3,7,36,1,24,220000,2,2
4,7,36,1,0,218000,2,2
7,11,18,0,41,218000,1,0
2,8,36,1,36,215000,0,0
2,2,22,2,3,215000,0,0
2,2,22,2,9,215000,0,0
3,8,5,4,5,215000,0,2
2,3,22,2,13,215000,0,0
1,1,22,2,35,215000,0,0
2,2,22,2,19,215000,2,0
5,2,22,2,19,215000,2,2
2,2,22,2,24,215000,2,0
2,2,22,2,24,215000,0,0
1,3,14,1,3,215000,0,0
6,3,22,2,5,215000,2,0
2,2,22,2,24,215000,0,0
3,8,1,1,36,215000,2,2
2,1,22,2,24,215000,2,2
5,3,18,1,29,214348,0,2
5,10,36,1,36,214200,2,0
4,13,26,4,5,214000,0,0
2,7,36,1,24,214000,2,0
6,19,0,4,26,214000,2,0
4,13,14,1,24,213675,2,2
5,15,26,1,24,213000,2,2
3,10,36,1,36,213000,2,0
4,15,36,6,38,211200,2,0
3,5,36,1,36,210000,2,0
3,8,36,1,36,210000,2,2
3,13,11,4,2,210000,2,0
5,18,36,1,26,210000,2,0
4,12,7,1,41,210000,2,0
5,17,36,1,38,210000,2,2
3,12,33,1,36,210000,0,0
5,13,18,2,32,210000,1,0
3,6,18,4,19,210000,1,0
4,14,31,4,5,210000,2,0
3,11,30,1,19,210000,2,2
3,8,7,4,36,210000,2,2
3,5,22,2,17,210000,0,0
5,12,36,4,26,210000,2,0
3,3,18,2,41,210000,2,2
4,11,22,2,22,210000,0,0
3,12,18,4,17,210000,2,2
4,12,36,4,41,210000,1,0
4,15,36,4,36,210000,2,2
7,10,36,5,19,209000,2,2
4,7,21,3,23,208000,2,2
2,7,36,1,5,208000,2,0
4,12,36,4,38,208000,2,2
7,19,0,4,40,208000,1,2
1,3,33,1,24,207000,0,2
5,15,36,4,5,206000,2,0
2,2,22,2,24,205000,0,0
3,6,7,1,24,205000,2,0
2,3,22,2,19,205000,2,0
3,10,29,2,0,205000,2,0
2,1,22,2,4,205000,0,0
2,1,22,2,41,205000,2,0
2,1,22,2,3,205000,2,0
4,10,18,1,24,205000,2,2
3,9,36,1,24,205000,2,2
1,1,22,2,41,205000,2,0
1,1,22,2,5,205000,2,0
2,1,22,2,24,205000,0,0
3,5,22,2,19,205000,2,2
1,1,22,2,36,205000,2,0
3,9,36,1,10,205000,2,2
2,1,22,2,9,205000,1,2
2,2,22,2,41,205000,0,0
3,7,36,2,36,205000,2,0
2,1,22,2,24,205000,2,0
1,1,22,2,19,205000,2,0
3,5,22,2,19,205000,0,0
1,1,22,2,24,205000,2,0
1,1,22,2,5,205000,2,0
2,1,22,2,2,205000,0,0
3,10,7,4,36,205000,2,2
2,1,22,2,24,205000,0,0
2,1,22,2,24,205000,0,0
1,1,22,2,5,205000,1,0
1,1,22,2,24,205000,2,0
3,1,22,2,28,205000,0,0
1,1,22,2,24,205000,2,0
2,1,22,2,26,205000,0,2
1,1,22,2,9,205000,0,0
1,1,22,2,13,205000,2,0
1,1,22,2,3,205000,0,0
3,1,22,2,3,205000,2,2
2,1,22,2,36,205000,1,0
1,1,22,2,9,205000,1,2
2,1,22,2,26,205000,0,0
1,1,22,2,41,205000,0,2
2,1,22,2,3,205000,2,0
3,8,3,1,0,204000,0,0
5,8,29,2,3,203500,2,0
3,4,36,1,36,203000,2,0
3,10,7,1,1,202800,2,0
2,1,22,2,24,202500,0,0
2,1,22,2,24,202500,0,2
2,1,22,2,24,202500,2,0
2,2,18,0,24,202000,0,0
3,5,22,2,32,202000,1,2
7,1,36,5,38,200000,2,0
1,1,31,1,40,200000,1,0
2,8,26,1,24,200000,2,0
5,7,36,4,38,200000,2,0
3,8,25,1,19,200000,0,0
2,8,36,4,36,200000,2,0
3,8,14,1,36,200000,2,0
3,1,18,0,24,200000,1,0
4,6,14,2,41,200000,2,2
4,15,25,1,3,200000,0,2
3,5,5,2,24,200000,2,2
2,4,36,1,36,200000,2,2
5,12,26,4,36,200000,2,0
2,8,30,1,2,200000,2,0
1,2,15,1,24,200000,0,0
2,9,30,1,5,200000,2,0
4,5,5,2,35,200000,2,2
3,10,14,4,24,200000,0,2
5,8,18,4,5,200000,0,0
5,10,21,1,24,200000,2,0
3,10,25,1,24,200000,2,2
0,5,25,1,41,200000,2,0
3,11,14,1,24,200000,0,0
1,2,25,1,27,200000,2,2
4,10,25,1,24,200000,2,0
3,8,36,4,19,200000,0,0
2,2,18,2,38,200000,2,0
3,6,14,4,41,200000,0,2
2,4,4,1,24,200000,0,2
1,5,3,1,9,200000,1,2
3,9,14,1,5,200000,1,0
4,15,26,1,19,200000,1,0
0,1,14,1,24,200000,1,2
4,14,33,1,3,200000,2,2
5,9,36,4,38,200000,0,2
4,5,36,3,18,200000,2,2
2,5,31,5,38,200000,1,2
3,9,4,4,38,200000,0,0
0,1,14,6,24,200000,1,2
3,7,25,1,19,200000,2,2
1,2,14,1,19,200000,2,0
2,6,14,1,19,200000,0,0
3,6,36,1,33,200000,2,2
2,3,26,2,24,200000,2,1
0,1,21,3,25,200000,2,2
2,3,18,4,10,200000,0,2
5,13,20,1,29,200000,0,2
4,10,36,4,38,200000,2,2
3,6,7,4,4,200000,2,2
2,4,31,1,41,200000,2,0
5,16,22,2,26,200000,2,0
4,13,14,1,24,200000,0,0
4,14,1,4,24,200000,2,2
4,10,1,1,11,200000,1,2
1,2,18,0,3,200000,0,2
2,1,22,4,24,200000,0,2
5,10,36,4,11,200000,2,2
5,13,25,4,24,200000,0,0
3,10,6,4,27,200000,0,2
5,8,15,1,24,200000,2,2
2,5,4,1,24,200000,0,2
2,5,22,2,24,200000,1,0
4,14,14,2,19,200000,1,2
3,8,36,1,1,200000,0,2
3,8,18,1,20,200000,1,2
1,1,22,2,41,200000,0,0
4,11,25,1,19,200000,2,0
2,7,1,1,5,200000,2,1
4,8,12,2,19,200000,2,2
2,3,36,1,36,200000,0,2
3,6,12,1,19,200000,2,2
1,3,14,1,24,200000,0,0
3,10,36,4,24,200000,2,0
3,10,32,1,0,200000,0,0
0,6,33,5,38,198000,2,0
2,6,36,4,36,198000,0,2
4,15,18,4,36,197900,0,2
1,3,36,1,24,197600,2,0
2,1,18,4,5,197500,0,0
3,11,2,5,19,196440,1,2
2,8,36,4,36,196000,2,0
6,18,13,1,24,196000,0,0
6,16,27,4,33,195500,2,2
5,15,5,1,36,195000,2,0
5,15,33,1,24,195000,2,0
4,10,15,4,9,195000,2,0
2,6,7,4,24,195000,0,0
4,13,36,1,24,195000,2,2
5,10,14,1,4,195000,2,1
4,4,36,4,36,195000,2,1
2,5,15,1,38,195000,2,0
4,15,36,4,5,195000,2,0
2,6,36,1,36,195000,2,2
3,6,22,1,24,195000,0,0
3,8,14,1,21,195000,2,2
2,5,36,1,38,195000,2,2
2,4,2,4,38,195000,2,2
4,14,25,1,35,195000,2,0
4,7,36,1,36,195000,2,2
5,17,29,1,24,194000,0,0
2,3,36,1,24,194000,2,2
4,10,36,1,36,193000,2,0
3,8,36,1,35,193000,2,0
3,10,36,4,36,193000,2,0
2,5,36,4,36,193000,2,0
2,5,36,4,24,192000,0,0
4,10,26,6,19,192000,2,2
4,12,18,4,24,192000,2,0
3,10,26,1,19,192000,1,2
4,16,36,2,38,190009,2,0
1,1,22,2,19,190000,2,0
2,7,14,1,24,190000,0,0
3,9,7,1,3,190000,2,0
4,12,18,4,5,190000,2,2
3,10,7,1,1,190000,2,0
4,10,14,4,9,190000,1,0
3,6,36,4,36,190000,2,0
3,11,10,1,24,190000,2,0
4,8,4,4,5,190000,0,0
3,4,36,2,36,190000,0,0
3,7,36,1,38,190000,2,2
5,15,8,4,0,190000,0,2
2,5,7,1,19,190000,0,2
2,4,36,4,19,190000,2,0
3,10,18,1,9,190000,2,2
2,8,32,4,0,190000,2,0
6,15,12,1,24,190000,2,0
7,16,18,1,38,190000,2,2
1,1,22,2,28,190000,0,0
4,12,36,1,36,190000,2,2
5,16,25,1,38,190000,0,0
4,8,22,2,0,190000,0,0
2,1,22,2,24,190000,2,0
3,7,8,1,37,190000,2,2
2,7,36,1,19,189000,2,0
4,7,36,0,24,189000,2,2
4,10,36,4,36,188500,0,2
3,10,36,4,9,188000,2,0
5,17,36,1,10,188000,2,0
3,9,18,1,36,187387,0,2
3,11,36,1,19,187000,2,0
3,8,18,1,37,187000,1,2
2,6,36,4,36,187000,2,0
2,6,7,4,24,187000,2,2
3,1,18,2,36,186992,2,0
2,3,36,4,36,186565,0,0
5,15,1,1,26,186000,2,2
2,6,36,4,36,185000,2,0
4,14,7,4,24,185000,0,0
2,5,7,4,5,185000,2,2
2,5,4,1,7,185000,0,0
4,12,18,1,24,185000,2,0
4,15,36,1,41,185000,2,0
3,7,36,2,37,185000,0,2
2,7,36,1,24,185000,0,0
1,2,7,1,24,185000,0,0
3,11,26,1,24,185000,0,1
4,11,36,4,3,185000,0,2
3,11,36,1,36,185000,2,0
1,4,7,4,21,185000,2,0
5,15,36,4,36,185000,2,0
3,7,26,1,36,185000,2,0
3,9,1,1,24,185000,2,0
2,4,15,1,36,185000,2,2
4,8,22,2,38,185000,0,0
3,5,18,0,32,185000,0,0
3,12,7,1,41,185000,0,2
3,10,36,4,24,185000,2,2
1,3,36,1,36,185000,2,2
2,5,36,1,24,185000,2,0
2,8,36,1,24,185000,2,0
3,9,29,1,3,185000,0,2
1,2,18,1,19,185000,2,2
4,7,36,4,37,185000,2,2
2,3,7,1,5,185000,0,0
2,7,36,1,36,185000,2,2
3,6,7,1,36,185000,0,2
2,3,36,1,3,185000,2,2
2,8,11,1,36,185000,2,2
3,8,25,1,36,185000,0,0
3,7,29,4,24,185000,2,0
2,5,14,1,24,185000,0,2
4,13,36,1,36,185000,2,2
2,5,36,1,38,184240,2,0
3,7,7,4,24,184000,0,2
4,12,36,1,24,184000,1,0
2,4,3,1,28,183000,0,0
4,11,7,4,24,183000,2,0
3,9,37,1,9,182967,2,2
4,15,36,1,38,182000,0,0
4,7,7,1,0,182000,2,2
5,16,7,0,24,182000,0,0
4,13,5,1,36,182000,2,0
3,8,31,1,30,182000,2,2
4,11,7,4,41,181100,2,2
3,8,37,4,24,181000,0,2
2,4,23,1,41,181000,2,0
1,1,22,2,30,181000,2,0
3,9,4,1,24,180000,0,0
4,10,36,1,24,180000,2,0
3,10,36,1,36,180000,2,0
2,6,15,1,38,180000,2,0
1,3,36,1,36,180000,0,0
3,5,18,2,18,180000,1,0
1,2,36,1,38,180000,2,0
4,7,14,2,24,180000,0,0
1,2,36,1,24,180000,2,0
4,13,0,4,5,180000,0,2
3,10,36,1,24,180000,2,2
2,3,36,4,36,180000,2,2
2,8,3,0,41,180000,1,2
2,7,36,1,24,180000,2,2
4,15,18,2,5,180000,0,2
3,6,14,4,24,180000,2,0
2,4,7,1,24,180000,2,0
5,17,36,1,0,180000,2,0
2,5,36,1,36,180000,2,2
3,5,36,1,36,180000,2,0
6,14,36,6,1,180000,2,0
3,9,14,1,24,180000,0,2
5,16,8,1,36,180000,0,0
3,9,25,4,24,180000,2,2
2,6,36,1,24,180000,2,0
2,6,25,1,24,180000,2,0
2,3,29,1,35,180000,0,0
4,12,15,5,5,180000,2,0
2,8,36,1,9,180000,2,2
3,7,7,4,19,180000,2,0
1,5,36,1,36,180000,2,2
3,8,36,1,36,180000,2,0
4,5,18,2,36,180000,0,0
3,8,36,4,1,180000,2,2
5,7,36,1,37,180000,2,2
3,10,25,1,19,180000,2,0
3,11,36,1,24,180000,0,0
3,7,7,4,41,180000,2,2
4,10,36,1,24,180000,2,0
2,5,25,4,36,180000,2,0
4,10,36,0,31,180000,2,2
1,3,6,1,39,180000,1,2
2,7,14,1,26,180000,2,0
3,14,36,6,36,180000,2,2
3,4,5,2,36,180000,0,0
3,8,7,4,24,180000,2,0
3,11,36,1,15,180000,2,2
3,11,36,1,38,180000,2,0
2,8,33,0,41,180000,1,2
2,7,36,1,24,180000,0,2
1,1,22,2,24,180000,2,0
3,11,14,4,26,180000,0,2
1,2,36,1,36,180000,2,2
3,5,18,2,36,180000,2,1
2,8,36,1,29,180000,2,2
7,7,31,7,38,180000,0,0
2,6,36,1,38,180000,2,0
0,1,31,1,24,180000,2,2
2,8,36,1,36,180000,2,0
6,10,29,1,40,180000,2,2
2,7,25,1,19,180000,2,0
2,5,36,1,36,179000,2,2
2,9,36,4,24,178000,2,0
1,1,18,4,4,178000,0,2
4,12,25,4,36,178000,0,2
6,12,7,4,5,177000,2,0
3,9,36,1,24,176000,0,2
2,5,18,1,38,176000,0,0
2,7,7,4,24,176000,0,2
1,3,36,1,36,176000,2,0
2,2,36,2,19,175000,2,0
1,3,7,4,24,175000,2,0
3,3,16,6,13,175000,0,0
2,4,14,1,24,175000,1,0
3,9,14,1,9,175000,0,2
2,2,14,4,24,175000,0,2
1,3,7,1,19,175000,2,2
5,15,33,4,24,175000,2,2
2,8,21,1,36,175000,2,2
2,5,36,1,36,175000,2,2
2,3,36,1,36,175000,2,2
5,10,36,4,36,175000,2,0
6,8,36,0,0,175000,2,0
2,8,21,1,36,175000,0,0
2,7,33,1,41,175000,0,0
3,9,28,1,13,175000,1,0
3,10,12,4,19,175000,2,0
4,12,29,4,26,175000,2,2
2,5,7,4,3,175000,0,2
3,8,9,1,24,175000,0,0
3,10,36,1,24,175000,2,0
3,11,1,1,24,175000,2,0
1,3,4,1,24,175000,0,0
1,1,14,1,24,175000,1,2
5,15,36,1,10,175000,2,2
1,3,4,1,24,175000,0,0
5,5,25,6,40,175000,1,2
1,4,4,1,24,175000,0,2
4,11,29,1,1,175000,2,0
1,5,31,1,19,175000,2,2
5,7,36,1,38,175000,2,0
1,4,36,1,19,175000,2,0
2,6,36,1,38,175000,2,0
3,7,7,4,5,175000,0,2
2,1,22,2,38,175000,2,2
3,2,28,4,13,175000,1,2
2,5,14,1,24,175000,0,2
2,5,7,1,24,175000,2,0
3,8,22,2,6,175000,1,2
4,10,25,1,19,175000,2,2
2,6,36,1,36,175000,2,0
1,3,14,1,24,175000,2,2
1,1,7,2,4,175000,1,0
1,3,36,1,24,175000,2,0
3,4,22,2,24,175000,0,0
3,9,25,1,24,175000,2,0
3,11,33,1,24,175000,2,0
3,10,36,1,24,175000,2,0
5,15,14,4,24,175000,0,0
1,4,14,1,24,175000,0,2
2,8,26,6,24,175000,2,0
4,12,36,1,19,175000,2,2
1,2,36,4,38,175000,0,2
2,7,11,1,24,175000,2,2
2,3,36,1,8,175000,2,0
0,1,14,1,24,175000,2,2
2,4,7,1,24,175000,2,2
4,13,5,1,3,175000,2,2
2,6,36,1,24,175000,2,0
1,3,14,1,24,175000,2,2
4,12,37,1,24,175000,0,0
4,12,12,1,24,175000,2,2
3,8,7,4,13,175000,0,0
2,5,7,4,24,175000,2,0
2,6,26,1,24,175000,2,2
3,6,14,4,24,175000,0,0
2,5,36,1,36,175000,2,0
3,12,25,1,24,175000,1,2
4,10,18,4,4,174900,1,2
3,9,36,1,24,173000,2,0
2,5,36,1,24,173000,2,0
2,5,36,1,38,173000,2,2
2,7,36,1,36,173000,2,2
5,10,7,4,24,173000,2,0
6,15,17,2,41,172500,2,2
3,7,0,1,37,172000,0,0
3,5,36,1,5,172000,2,0
4,12,21,1,22,172000,2,0
3,10,36,4,19,172000,2,0
3,14,26,3,24,172000,0,2
2,4,36,1,36,172000,2,2
2,6,7,4,24,172000,2,0
3,9,15,4,36,171600,2,2
2,5,36,1,38,171000,2,0
4,12,32,4,29,171000,0,0
3,8,27,1,36,170000,0,0
3,10,36,1,24,170000,0,0
2,7,36,4,0,170000,0,0
2,6,36,1,24,170000,2,0
2,6,14,1,15,170000,2,0
5,19,14,1,24,170000,0,2
3,10,29,1,5,170000,0,2
2,3,29,2,24,170000,0,2
3,10,11,1,38,170000,0,2
3,6,21,4,36,170000,2,2
2,1,22,2,23,170000,0,2
3,9,36,1,35,170000,2,2
2,3,36,4,37,170000,2,0
2,4,7,1,24,170000,2,0
1,4,36,6,0,170000,2,0
2,4,7,2,3,170000,0,0
3,9,36,1,19,170000,2,0
4,11,25,1,24,170000,2,0
5,10,0,1,36,170000,2,2
2,7,36,1,24,170000,0,2
3,10,32,1,5,170000,2,0
2,7,14,1,24,170000,0,2
3,6,11,1,3,170000,1,2
1,4,36,1,24,170000,2,2
7,10,18,2,9,170000,2,0
2,2,18,2,10,170000,0,0
1,5,26,1,19,170000,2,2
4,10,36,1,5,170000,2,2
2,10,36,1,17,170000,2,2
2,2,18,2,36,170000,1,0
3,11,1,1,19,170000,2,0
2,4,36,1,38,170000,2,2
2,4,10,4,40,170000,2,2
2,4,25,1,21,170000,0,1
2,1,18,2,5,170000,0,0
2,1,22,2,26,170000,0,0
2,6,37,1,36,170000,2,0
2,4,18,1,34,170000,0,0
3,5,14,2,24,170000,0,2
2,5,36,4,24,170000,2,2
3,7,36,4,36,170000,0,2
3,7,36,1,24,170000,1,2
2,6,36,6,36,170000,2,2
2,5,18,1,36,170000,0,0
3,9,36,1,36,170000,2,2
2,2,36,1,24,170000,2,2
4,15,14,4,41,170000,2,0
2,6,36,6,3,170000,2,2
4,10,36,4,36,170000,0,2
3,13,36,1,38,170000,2,0
4,10,3,3,35,170000,1,0
3,7,36,4,1,170000,2,2
3,11,4,1,9,170000,1,2
3,5,32,1,38,170000,2,0
3,8,36,1,1,170000,2,2
5,14,18,1,36,170000,0,0
2,4,25,1,19,170000,2,0
2,5,14,1,41,170000,2,2
2,6,7,1,24,170000,2,2
2,3,7,4,24,170000,2,2
6,15,14,4,24,170000,0,0
5,16,11,1,41,169000,2,2
2,6,36,1,38,169000,2,0
1,1,27,4,1,168000,1,0
2,5,18,1,36,168000,0,2
4,8,18,4,19,168000,0,0
2,5,36,1,19,168000,2,0
4,16,36,1,0,168000,2,0
3,10,14,4,24,167500,0,0
2,5,18,1,14,167000,2,0
2,4,36,1,36,167000,2,0
2,3,28,4,13,167000,1,2
1,2,8,1,37,166500,2,0
1,2,36,1,37,166500,2,2
2,6,36,1,1,166000,2,0
3,4,36,4,38,166000,2,0
2,6,36,1,24,166000,2,0
4,10,18,4,24,166000,0,2
4,7,36,2,1,166000,2,2
3,7,25,4,1,166000,2,0
2,6,36,1,38,165000,2,0
3,10,1,1,19,165000,1,0
2,4,36,1,36,165000,0,0
6,10,36,4,36,165000,2,0
3,9,33,1,5,165000,2,0
2,6,7,4,24,165000,2,0
1,1,36,1,24,165000,2,0
4,14,25,1,38,165000,2,0
2,6,14,1,36,165000,0,2
3,8,36,4,24,165000,2,0
2,7,36,1,24,165000,0,0
3,10,27,4,37,165000,0,0
2,3,36,1,24,165000,0,2
4,7,29,2,24,165000,0,0
2,4,7,4,3,165000,0,2
4,8,36,1,1,165000,2,0
4,15,21,2,26,165000,2,2
3,8,12,1,24,165000,0,0
7,10,36,1,27,165000,2,0
3,11,18,4,19,165000,0,0
2,4,29,4,24,165000,0,0
2,8,36,1,19,165000,0,0
2,5,36,1,36,165000,2,2
4,7,18,4,10,165000,2,0
2,5,18,1,37,165000,0,0
3,8,14,1,24,165000,0,2
2,5,36,4,37,165000,1,2
6,8,36,3,39,165000,2,0
3,13,6,1,35,165000,1,2
3,8,36,1,24,165000,2,0
4,6,27,2,19,165000,2,0
4,14,36,1,24,165000,2,0
1,3,7,1,5,165000,2,2
4,10,36,1,36,165000,2,2
3,8,22,2,19,165000,2,0
3,3,3,2,3,165000,0,2
2,4,7,4,5,165000,2,0
5,15,36,1,0,165000,2,2
3,9,14,1,24,165000,0,0
3,2,9,2,19,165000,0,2
1,2,36,1,24,165000,2,2
2,8,36,1,11,165000,2,2
2,5,29,2,14,165000,2,0
2,4,26,1,24,165000,2,0
3,10,36,1,24,165000,0,0
1,3,36,1,19,165000,2,2
2,6,36,1,19,165000,2,0
2,4,18,2,24,165000,0,2
3,9,36,1,24,165000,2,2
2,5,18,1,3,164500,2,0
3,7,36,4,21,164000,2,2
3,9,36,1,38,164000,0,2
5,14,4,6,16,164000,0,2
3,6,12,4,24,164000,1,2
1,5,36,4,24,164000,2,0
3,8,0,4,24,163000,2,0
1,2,36,4,1,163000,2,2
3,2,18,2,36,163000,0,0
2,5,33,1,10,163000,2,2
2,2,22,2,24,163000,0,2
2,7,36,1,38,163000,2,2
5,16,14,2,24,163000,2,0
3,7,36,1,19,163000,2,2
1,3,7,1,24,163000,2,2
3,9,7,1,36,163000,2,0
3,10,7,4,5,163000,0,0
1,2,36,4,36,162500,2,2
2,6,7,1,38,162000,2,0
2,8,14,6,19,162000,2,2
4,12,18,1,22,162000,0,0
