AgeRange,YearsExperience,Industry,Education,Location,Salary,Modality,Gender
34-37,12,Entertainment,Bachelor's Degree,"New York, NY",265000,Remote,Male
30-33,1,Healthcare,Doctorate Degree,"Richmond, VA",262000,Onsite,Female
22-25,2,Real Estate,Bachelor's Degree,"Jacksonville, FL",260000,Remote,Female
30-33,8,Marketing,Bachelor's Degree,"Cincinnati, OH",260000,Remote,Male
30-33,8,Tech,Master's Degree,"San Francisco, CA",260000,Remote,Female
22-25,3,Marketing,Bachelor's Degree,"Los Angeles, CA",260000,Remote,Male
30-33,10,Finance,Bachelor's Degree,"San Francisco, CA",260000,Remote,Male
38-41,18,Tech,Master's Degree,"New York, NY",260000,Remote,Female
30-33,7,Healthcare,Doctorate Degree,"Philadelphia, PA",260000,Hybrid,Male
30-33,10,Advertising,Bachelor's Degree,"New York, NY",260000,Remote,Female
34-37,7,Finance,Some College,"Miami, FL",260000,Onsite,Male
22-25,3,Healthcare,Bachelor's Degree,"Houston, TX",257000,Onsite,Female
26-29,7,Tech,Bachelor's Degree,"San Francisco, CA",255000,Remote,Male
34-37,10,Marketing,Bachelor's Degree,"New York, NY",252000,Hybrid,Female
34-37,12,Finance,Master's Degree,"Philadelphia, PA",251490,Onsite,Male
18-21,3,Tech,Bachelor's Degree,"Los Angeles, CA",250000,Onsite,Female
34-37,6,Fintech,Bachelor's Degree,"San Francisco, CA",250000,Remote,Female
34-37,11,Legal,Doctorate Degree,"Los Angeles, CA",250000,Remote,Female
30-33,10,Tech,Doctorate Degree,"Seattle, WA",250000,Remote,Male
22-25,1,Tech,Bachelor's Degree,"New York, NY",250000,Remote,Female
26-29,6,Healthcare,Bachelor's Degree,"Phoenix, AZ",250000,Hybrid,Female
34-37,14,Healthcare,Master's Degree,"Los Angeles, CA",250000,Remote,Female
38-41,12,Consulting,Master's Degree,"New York, NY",250000,Remote,Male
30-33,9,Tech,Bachelor's Degree,"San Francisco, CA",250000,Remote,Female
30-33,5,Sales,High School/GED,"Phoenix, AZ",250000,Remote,Female
34-37,13,Consulting,Master's Degree,"San Francisco, CA",250000,Remote,Female
30-33,3,Medical,Doctorate Degree,"New York, NY",250000,Onsite,Male
26-29,6,Marketing,Bachelor's Degree,"Los Angeles, CA",250000,Remote,Male
22-25,4,Tech,Bachelor's Degree,"New York, NY",250000,Remote,Male
34-37,10,Healthcare,Doctorate Degree,"Boston, MA",250000,Remote,Female
22-25,2,Banking,Bachelor's Degree,"New York, NY",250000,Onsite,Male
34-37,8,Banking,Bachelor's Degree,"New York, NY",250000,Hybrid,Male
34-37,14,Tech,Bachelor's Degree,"Austin, TX",250000,Remote,Male
30-33,9,Healthcare,Doctorate Degree,"Minneapolis, MN",250000,Onsite,Female
18-21,3,Marketing,None,"Tampa, FL",250000,Hybrid,Male
30-33,10,Tech,Bachelor's Degree,"New York, NY",250000,Remote,Male
38-41,11,Legal,Doctorate Degree,"Los Angeles, CA",248000,Remote,Male
30-33,10,Legal,Doctorate Degree,"San Francisco, CA",245000,Remote,Male
30-33,8,Tech,Bachelor's Degree,"San Francisco, CA",245000,Hybrid,Male
34-37,12,Marketing,Bachelor's Degree,"New York, NY",242000,Remote,Female
26-29,3,Legal,Doctorate Degree,"San Diego, CA",240000,Hybrid,Female
30-33,5,Legal,Doctorate Degree,"Chicago, IL",240000,Hybrid,Female
34-37,15,Tech,Bachelor's Degree,"San Francisco, CA",240000,Hybrid,Male
30-33,4,Medical,Associate's Degree,"Portland, OR",240000,Hybrid,Male
30-33,10,Tech,Bachelor's Degree,"New York, NY",240000,Remote,Female
26-29,3,Legal,Doctorate Degree,"Seattle, WA",240000,Remote,Female
30-33,4,Legal,Doctorate Degree,"New York, NY",240000,Remote,Female
30-33,2,Legal,Doctorate Degree,"Washington, DC",240000,Remote,Male
30-33,2,Legal,Doctorate Degree,"Los Angeles, CA",240000,Hybrid,Female
26-29,3,Legal,Doctorate Degree,"New York, NY",240000,Hybrid,Female
34-37,9,Tech,Bachelor's Degree,"San Jose, CA",240000,Remote,Male
26-29,10,Marketing,Some College,"Dallas, TX",240000,Remote,Male
18-21,2,Sales,Some College,"Denver, CO",240000,Remote,Male
26-29,4,Legal,Doctorate Degree,"New York, NY",240000,Remote,Female
30-33,10,Tech,Bachelor's Degree,"Austin, TX",240000,Remote,Male
26-29,3,Legal,Doctorate Degree,"Boston, MA",240000,Hybrid,Female
30-33,8,Tech,Bachelor's Degree,"San Francisco, CA",240000,Remote,Female
34-37,19,Hosptechaltechy,Associate's Degree,"San Francisco, CA",240000,Hybrid,Male
30-33,3,Legal,Doctorate Degree,"Washington, DC",240000,Hybrid,Female
30-33,2,Real Estate,Bachelor's Degree,"Nashville, TN",240000,Remote,Female
38-41,16,Fintech,Bachelor's Degree,"Irvine, CA",239000,Remote,Male
34-37,13,Tech,Bachelor's Degree,"New York, NY",238000,Remote,Female
26-29,7,Tech,Bachelor's Degree,"New York, NY",235000,Remote,Female
30-33,9,Tech,Bachelor's Degree,"New York, NY",235000,Remote,Female
26-29,2,Legal,Doctorate Degree,"Chicago, IL",235000,Remote,Female
38-41,10,Finance,Master's Degree,"San Francisco, CA",235000,Hybrid,Male
30-33,11,Tech,Bachelor's Degree,"New York, NY",233000,Remote,Female
34-37,13,Tech,Bachelor's Degree,"San Francisco, CA",232000,Remote,Male
34-37,11,Finance,Doctorate Degree,"Philadelphia, PA",232000,Remote,Female
34-37,13,Advertising,Bachelor's Degree,"New York, NY",230000,Remote,Female
34-37,11,Tech,Master's Degree,"San Francisco, CA",230000,Remote,Male
34-37,12,Retail,Bachelor's Degree,"New York, NY",230000,Remote,Female
30-33,11,Retail,Master's Degree,"San Francisco, CA",230000,Onsite,Male
34-37,12,Tech,Bachelor's Degree,"Seattle, WA",230000,Remote,Female
30-33,11,Consulting,Bachelor's Degree,"San Francisco, CA",230000,Hybrid,Male
26-29,5,Healthcare,Bachelor's Degree,"Washington, DC",226600,Hybrid,Female
30-33,11,Banking,Bachelor's Degree,"New York, NY",225000,Hybrid,Male
34-37,12,Tech,Bachelor's Degree,"New York, NY",225000,Remote,Male
34-37,14,Finance,Master's Degree,"Minneapolis, MN",225000,Remote,Male
26-29,6,Marketing,Bachelor's Degree,"New York, NY",225000,Remote,Male
30-33,10,Accounting,Doctorate Degree,"Boston, MA",225000,Hybrid,Female
34-37,12,Tech,Bachelor's Degree,"San Jose, CA",225000,Hybrid,Male
26-29,2,Healthcare,Doctorate Degree,"New York, NY",225000,Onsite,Male
30-33,7,Marketing,Bachelor's Degree,"Chicago, IL",225000,Remote,Male
34-37,10,Healthcare,Bachelor's Degree,"Boston, MA",225000,Remote,Female
30-33,8,Tech,Master's Degree,"Chicago, IL",225000,Remote,Female
26-29,10,Finance,Some College,"Chicago, IL",225000,Hybrid,Male
26-29,5,Real Estate,Bachelor's Degree,"New York, NY",225000,Hybrid,Male
34-37,12,Tech,Bachelor's Degree,"New York, NY",225000,Hybrid,Male
38-41,15,Tech,Master's Degree,"Los Angeles, CA",225000,Onsite,Female
26-29,5,Tech,Bachelor's Degree,"San Francisco, CA",225000,Hybrid,LGBTQ+
42-45,14,Tech,Bachelor's Degree,"San Jose, CA",223600,Remote,Female
34-37,10,Tech,Doctorate Degree,"Los Angeles, CA",220000,Remote,Male
26-29,6,Tech,Bachelor's Degree,"New York, NY",220000,Hybrid,Female
26-29,6,Tech,Bachelor's Degree,"New York, NY",220000,Remote,Female
26-29,8,Tech,Some College,"Washington, DC",220000,Remote,Male
38-41,15,Insurance,Bachelor's Degree,"San Francisco, CA",220000,Onsite,Female
26-29,5,Tech,Bachelor's Degree,"Seattle, WA",220000,Remote,Male
34-37,14,Marketing,Bachelor's Degree,"New York, NY",220000,Remote,Female
38-41,13,Real Estate,Doctorate Degree,"New York, NY",220000,Onsite,Female
30-33,9,Tech,Bachelor's Degree,"Los Angeles, CA",220000,Remote,Male
34-37,9,Tech,Master's Degree,"San Francisco, CA",220000,Hybrid,Female
34-37,12,Tech,Bachelor's Degree,"San Francisco, CA",220000,Remote,Female
30-33,13,Real Estate,Trade/Vocational,"Atlanta, GA",220000,Remote,Male
30-33,1,Legal,Doctorate Degree,"San Francisco, CA",220000,Remote,LGBTQ+
30-33,7,Tech,Bachelor's Degree,"New York, NY",220000,Remote,Male
34-37,7,Tech,Bachelor's Degree,"Atlanta, GA",218000,Remote,Male
46+,11,Healthcare,Associate's Degree,"Washington, DC",218000,Onsite,Female
26-29,8,Tech,Bachelor's Degree,"San Francisco, CA",215000,Hybrid,Female
26-29,2,Legal,Doctorate Degree,"Boston, MA",215000,Hybrid,Female
26-29,2,Legal,Doctorate Degree,"Dallas, TX",215000,Hybrid,Female
30-33,8,Biotech,Master's Degree,"Chicago, IL",215000,Hybrid,Male
26-29,3,Legal,Doctorate Degree,"Houston, TX",215000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"San Diego, CA",215000,Hybrid,Female
26-29,2,Legal,Doctorate Degree,"Los Angeles, CA",215000,Remote,Female
38-41,2,Legal,Doctorate Degree,"Los Angeles, CA",215000,Remote,Male
26-29,2,Legal,Doctorate Degree,"New York, NY",215000,Remote,Female
26-29,2,Legal,Doctorate Degree,"New York, NY",215000,Hybrid,Female
22-25,3,Finance,Bachelor's Degree,"Boston, MA",215000,Hybrid,Female
42-45,3,Legal,Doctorate Degree,"Chicago, IL",215000,Remote,Female
26-29,2,Legal,Doctorate Degree,"New York, NY",215000,Hybrid,Female
30-33,8,Advertising,Bachelor's Degree,"San Francisco, CA",215000,Remote,Male
26-29,1,Legal,Doctorate Degree,"New York, NY",215000,Remote,Male
38-41,3,Healthcare,Bachelor's Degree,"Portland, OR",214348,Hybrid,Male
38-41,10,Tech,Bachelor's Degree,"San Francisco, CA",214200,Remote,Female
34-37,13,Media,Master's Degree,"Chicago, IL",214000,Hybrid,Female
26-29,7,Tech,Bachelor's Degree,"New York, NY",214000,Remote,Female
42-45,19,Accounting,Master's Degree,"Philadelphia, PA",214000,Remote,Female
34-37,13,Finance,Bachelor's Degree,"New York, NY",213675,Remote,Male
38-41,15,Media,Bachelor's Degree,"New York, NY",213000,Remote,Male
30-33,10,Tech,Bachelor's Degree,"San Francisco, CA",213000,Remote,Female
34-37,15,Tech,Some College,"Seattle, WA",211200,Remote,Female
30-33,5,Tech,Bachelor's Degree,"San Francisco, CA",210000,Remote,Female
30-33,8,Tech,Bachelor's Degree,"San Francisco, CA",210000,Remote,Male
30-33,13,Engineering,Master's Degree,"Baltimore, MD",210000,Remote,Female
38-41,18,Tech,Bachelor's Degree,"Philadelphia, PA",210000,Remote,Female
34-37,12,Consulting,Bachelor's Degree,"Washington, DC",210000,Remote,Female
38-41,17,Tech,Bachelor's Degree,"Seattle, WA",210000,Remote,Male
30-33,12,Sales,Bachelor's Degree,"San Francisco, CA",210000,Hybrid,Female
38-41,13,Healthcare,Doctorate Degree,"Sacramento, CA",210000,Onsite,Female
30-33,6,Healthcare,Master's Degree,"Los Angeles, CA",210000,Onsite,Female
34-37,14,Real Estate,Master's Degree,"Chicago, IL",210000,Remote,Female
30-33,11,Public Relations,Bachelor's Degree,"Los Angeles, CA",210000,Remote,Male
30-33,8,Consulting,Master's Degree,"San Francisco, CA",210000,Remote,Male
30-33,5,Legal,Doctorate Degree,"Kansas City, MO",210000,Hybrid,Female
38-41,12,Tech,Master's Degree,"Philadelphia, PA",210000,Remote,Female
30-33,3,Healthcare,Doctorate Degree,"Washington, DC",210000,Remote,Male
34-37,11,Legal,Doctorate Degree,"Minneapolis, MN",210000,Hybrid,Female
30-33,12,Healthcare,Master's Degree,"Kansas City, MO",210000,Remote,Male
34-37,12,Tech,Master's Degree,"Washington, DC",210000,Onsite,Female
34-37,15,Tech,Master's Degree,"San Francisco, CA",210000,Remote,Male
46+,10,Tech,None,"Los Angeles, CA",209000,Remote,Male
34-37,7,Insurance,High School/GED,"Nashville, TN",208000,Remote,Male
26-29,7,Tech,Bachelor's Degree,"Chicago, IL",208000,Remote,Female
34-37,12,Tech,Master's Degree,"Seattle, WA",208000,Remote,Male
46+,19,Accounting,Master's Degree,"Tampa, FL",208000,Onsite,Male
22-25,3,Sales,Bachelor's Degree,"New York, NY",207000,Hybrid,Male
38-41,15,Tech,Master's Degree,"Chicago, IL",206000,Remote,Female
26-29,2,Legal,Doctorate Degree,"New York, NY",205000,Hybrid,Female
30-33,6,Consulting,Bachelor's Degree,"New York, NY",205000,Remote,Female
26-29,3,Legal,Doctorate Degree,"Los Angeles, CA",205000,Remote,Female
30-33,10,Pharmacy,Doctorate Degree,"Atlanta, GA",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"Charlotte, NC",205000,Hybrid,Female
26-29,1,Legal,Doctorate Degree,"Washington, DC",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"Boston, MA",205000,Remote,Female
34-37,10,Healthcare,Bachelor's Degree,"New York, NY",205000,Remote,Male
30-33,9,Tech,Bachelor's Degree,"New York, NY",205000,Remote,Male
22-25,1,Legal,Doctorate Degree,"Washington, DC",205000,Remote,Female
22-25,1,Legal,Doctorate Degree,"Chicago, IL",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"New York, NY",205000,Hybrid,Female
30-33,5,Legal,Doctorate Degree,"Los Angeles, CA",205000,Remote,Male
22-25,1,Legal,Doctorate Degree,"San Francisco, CA",205000,Remote,Female
30-33,9,Tech,Bachelor's Degree,"Denver, CO",205000,Remote,Male
26-29,1,Legal,Doctorate Degree,"Dallas, TX",205000,Onsite,Male
26-29,2,Legal,Doctorate Degree,"Washington, DC",205000,Hybrid,Female
30-33,7,Tech,Doctorate Degree,"San Francisco, CA",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"New York, NY",205000,Remote,Female
22-25,1,Legal,Doctorate Degree,"Los Angeles, CA",205000,Remote,Female
30-33,5,Legal,Doctorate Degree,"Los Angeles, CA",205000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"New York, NY",205000,Remote,Female
22-25,1,Legal,Doctorate Degree,"Chicago, IL",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"Baltimore, MD",205000,Hybrid,Female
30-33,10,Consulting,Master's Degree,"San Francisco, CA",205000,Remote,Male
26-29,1,Legal,Doctorate Degree,"New York, NY",205000,Hybrid,Female
26-29,1,Legal,Doctorate Degree,"New York, NY",205000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"Chicago, IL",205000,Onsite,Female
22-25,1,Legal,Doctorate Degree,"New York, NY",205000,Remote,Female
30-33,1,Legal,Doctorate Degree,"Pittsburgh, PA",205000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"New York, NY",205000,Remote,Female
26-29,1,Legal,Doctorate Degree,"Philadelphia, PA",205000,Hybrid,Male
22-25,1,Legal,Doctorate Degree,"Dallas, TX",205000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"Houston, TX",205000,Remote,Female
22-25,1,Legal,Doctorate Degree,"Boston, MA",205000,Hybrid,Female
30-33,1,Legal,Doctorate Degree,"Boston, MA",205000,Remote,Male
26-29,1,Legal,Doctorate Degree,"San Francisco, CA",205000,Onsite,Female
22-25,1,Legal,Doctorate Degree,"Dallas, TX",205000,Onsite,Male
26-29,1,Legal,Doctorate Degree,"Philadelphia, PA",205000,Hybrid,Female
22-25,1,Legal,Doctorate Degree,"Washington, DC",205000,Hybrid,Male
26-29,1,Legal,Doctorate Degree,"Boston, MA",205000,Remote,Female
30-33,8,Automotive,Bachelor's Degree,"Atlanta, GA",204000,Hybrid,Female
38-41,8,Pharmacy,Doctorate Degree,"Boston, MA",203500,Remote,Female
30-33,4,Tech,Bachelor's Degree,"San Francisco, CA",203000,Remote,Female
30-33,10,Consulting,Bachelor's Degree,"Austin, TX",202800,Remote,Female
26-29,1,Legal,Doctorate Degree,"New York, NY",202500,Hybrid,Female
26-29,1,Legal,Doctorate Degree,"New York, NY",202500,Hybrid,Male
26-29,1,Legal,Doctorate Degree,"New York, NY",202500,Remote,Female
26-29,2,Healthcare,Associate's Degree,"New York, NY",202000,Hybrid,Female
30-33,5,Legal,Doctorate Degree,"Sacramento, CA",202000,Onsite,Male
46+,1,Tech,None,"Seattle, WA",200000,Remote,Female
22-25,1,Real Estate,Bachelor's Degree,"Tampa, FL",200000,Onsite,Female
26-29,8,Media,Bachelor's Degree,"New York, NY",200000,Remote,Female
38-41,7,Tech,Master's Degree,"Seattle, WA",200000,Remote,Female
30-33,8,Marketing,Bachelor's Degree,"Los Angeles, CA",200000,Hybrid,Female
26-29,8,Tech,Master's Degree,"San Francisco, CA",200000,Remote,Female
30-33,8,Finance,Bachelor's Degree,"San Francisco, CA",200000,Remote,Female
30-33,1,Healthcare,Associate's Degree,"New York, NY",200000,Onsite,Female
34-37,6,Finance,Doctorate Degree,"Washington, DC",200000,Remote,Male
34-37,15,Marketing,Bachelor's Degree,"Boston, MA",200000,Hybrid,Male
30-33,5,Biotech,Doctorate Degree,"New York, NY",200000,Remote,Male
26-29,4,Tech,Bachelor's Degree,"San Francisco, CA",200000,Remote,Male
38-41,12,Media,Master's Degree,"San Francisco, CA",200000,Remote,Female
26-29,8,Public Relations,Bachelor's Degree,"Baltimore, MD",200000,Remote,Female
22-25,2,Fintech,Bachelor's Degree,"New York, NY",200000,Hybrid,Female
26-29,9,Public Relations,Bachelor's Degree,"Chicago, IL",200000,Remote,Female
34-37,5,Biotech,Doctorate Degree,"San Diego, CA",200000,Remote,Male
30-33,10,Finance,Master's Degree,"New York, NY",200000,Hybrid,Male
38-41,8,Healthcare,Master's Degree,"Chicago, IL",200000,Hybrid,Female
38-41,10,Insurance,Bachelor's Degree,"New York, NY",200000,Remote,Female
30-33,10,Marketing,Bachelor's Degree,"New York, NY",200000,Remote,Male
18-21,5,Marketing,Bachelor's Degree,"Washington, DC",200000,Remote,Female
30-33,11,Finance,Bachelor's Degree,"New York, NY",200000,Hybrid,Female
22-25,2,Marketing,Bachelor's Degree,"Phoenix, AZ",200000,Remote,Male
34-37,10,Marketing,Bachelor's Degree,"New York, NY",200000,Remote,Female
30-33,8,Tech,Master's Degree,"Los Angeles, CA",200000,Hybrid,Female
26-29,2,Healthcare,Doctorate Degree,"Seattle, WA",200000,Remote,Female
30-33,6,Finance,Master's Degree,"Washington, DC",200000,Hybrid,Male
26-29,4,Banking,Bachelor's Degree,"New York, NY",200000,Hybrid,Male
22-25,5,Automotive,Bachelor's Degree,"Dallas, TX",200000,Onsite,Male
30-33,9,Finance,Bachelor's Degree,"Chicago, IL",200000,Onsite,Female
34-37,15,Media,Bachelor's Degree,"Los Angeles, CA",200000,Onsite,Female
18-21,1,Finance,Bachelor's Degree,"New York, NY",200000,Onsite,Male
34-37,14,Sales,Bachelor's Degree,"Boston, MA",200000,Remote,Male
38-41,9,Tech,Master's Degree,"Seattle, WA",200000,Hybrid,Male
34-37,5,Tech,High School/GED,"Las Vegas, NV",200000,Remote,Male
26-29,5,Real Estate,None,"Seattle, WA",200000,Onsite,Male
30-33,9,Banking,Master's Degree,"Seattle, WA",200000,Hybrid,Female
18-21,1,Finance,Some College,"New York, NY",200000,Onsite,Male
30-33,7,Marketing,Bachelor's Degree,"Los Angeles, CA",200000,Remote,Male
22-25,2,Finance,Bachelor's Degree,"Los Angeles, CA",200000,Remote,Female
